trust_factor_ordinal_rank,domain,alexa_rank,alexa_linksincount,news_site,link_count,trust_factor
0,bbc.co.uk,97.0,316450.0,1,3082.0,3.102188495204045
1,nytimes.com,121.0,319128.0,1,2901.0,3.040134648365826
2,theguardian.com,140.0,111509.0,1,1347.0,2.46394243202779
3,cnn.com,104.0,222112.0,1,1071.0,2.1094971817197834
4,latimes.com,1052.0,117876.0,1,939.0,2.0930371031015014
5,telegraph.co.uk,515.0,155008.0,1,874.0,1.9715633317961903
6,usatoday.com,439.0,97438.0,1,759.0,1.9148091595116945
7,washingtonpost.com,248.0,118094.0,1,618.0,1.6743744816805695
8,time.com,809.0,122929.0,1,609.0,1.6524161309392111
9,abc.net.au,1020.0,64023.0,1,496.0,1.5656638895376522
10,hollywoodreporter.com,1562.0,35985.0,1,416.0,1.494418562498856
11,independent.co.uk,465.0,98444.0,1,498.0,1.4915418143045658
12,chicagotribune.com,2072.0,57821.0,1,437.0,1.4575276800781083
13,indiatimes.com,213.0,60044.0,1,403.0,1.3696788820131047
14,cbc.ca,1044.0,72080.0,1,395.0,1.3164441530673825
15,rediff.com,498.0,51202.0,1,341.0,1.2315585553556625
16,smh.com.au,2666.0,45715.0,1,263.0,0.9924184516234185
17,timesonline.co.uk,809219.0,35274.0,1,240.0,0.947996874860018
18,nydailynews.com,2060.0,59363.0,1,242.0,0.8617518266911723
19,cbsnews.com,752.0,63319.0,1,225.0,0.7771966582190037
20,forbes.com,251.0,132295.0,1,254.0,0.7645953986928156
21,salon.com,5219.0,44885.0,1,204.0,0.7417124165703646
22,reuters.com,588.0,120744.0,1,234.0,0.6991764256930306
23,boston.com,5348.0,47077.0,1,186.0,0.640678733126018
24,msn.com,48.0,168009.0,1,224.0,0.5955002398382527
25,foxnews.com,234.0,79271.0,1,195.0,0.5932855419653897
26,sfgate.com,1265.0,56410.0,1,181.0,0.5805788340167144
27,news.com.au,903.0,38947.0,1,165.0,0.55531178621756
28,npr.org,636.0,107273.0,1,184.0,0.48027730441247485
29,guardian.co.uk,52377.0,114267.0,1,180.0,0.4468263875803302
30,pbs.org,2102.0,89686.0,1,171.0,0.43952849864882637
31,abcnews.go.com,1124.0,82457.0,1,167.0,0.4311226733893987
32,dailymail.co.uk,143.0,173005.0,1,187.0,0.40964046016034583
33,nature.com,748.0,85014.0,1,164.0,0.4074484369460727
34,huffingtonpost.com,331.0,197272.0,1,189.0,0.39643733495570466
35,wired.com,1413.0,80044.0,1,154.0,0.35547600947925595
36,wsj.com,574.0,135046.0,1,157.0,0.27976874115721273
37,thehindu.com,1138.0,28734.0,1,115.0,0.24953639991860133
